FIRM,PRICE,ACCOUNT SIZE,PROFIT SPLIT,PROFIT TARGET,MAX. DAILY LOSS,MAX. TOTAL DRAWDOWN,COMMISION PER ROUND LOT (FOREX),PROFIT TARGET TO DRAWDOWN RATIO,PAYOUT FREQUENCY,TRUST PILOT RATING,YEAR STABLISHED AND COUNTRY,LOYALTY POINTS,Name,Original Price,Discount Price,Account Size,Profit Split,Phase 1 Profit Target,Phase 2 Profit Target,Max Daily Loss,Max Total Drawdown,Daily Drawdown Reset Type,Drawdown Method,Minimun Trading Days,Maximun Trading Days,Stop-loss Required,Profit Target to Drawdown Ratio,Comissions (Forex),Leverage,Refund Fee,Scaling,Expert Advisors (EAS) Allowed,Copy Trading,News Trading,Weekend Holding,Auto-close at Target,Drawdown Blocker,Payout Frequency,Max Allocation (without scaling),Swap Free Accounts,Technology,Broker,Trading Platforms,Trust Pilot Rating,Established,Country,Loyalty Points,STEPS,logo
Maven,$39.00 $35.88 ,5K,80%,1: 8%,3%,5%,$4/round lot,1: 0.63,14 Days,4.6,November 2022 Canada,47,Maven - 1-Step Challenge - Standard - cTrader - 1-Step 5K,$39.00,$35.88,5K,80%,8%, ,3%,5%,Balance / Equity - Highest at EOD,Trailing,,Unlimited,No,1: 0.63,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,"First payout on-demand, 30 days then after",Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,47,1 step,Maven.png
Blueberry Funded,$150.00 $127.50 ,25K,80%,1: 10%,4%,6%,$7/round lot,1: 0.6,14 Days,3.8,August 2024 Saint Vincent and the Grenadines,210,Blueberry Funded - 1 Step Evaluation - 1-Step - 25K,$150.00,$127.50,25K,80%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Static,3 Days (0.5% of profit to be made),Unlimited,"No, see faqs for more information",1: 0.6,$7/round lot,Up to 1:30,"*Yes, on rapid accounts",Yes,Yes,Swap Free Accounts,No,Yes,Yes,No,14 Days,400K,No,In-House,Blueberry Markets,"MT4, MT5, DXTrade",3.8,"August 7, 2024",Saint Vincent and the Grenadines,210,1 step,Blueberry Funded.svg
Maven, ,100K,80%,1: 8% 2: 5%,4%,8%,$4/round lot,1: 0.62,14 Days,4.6,November 2022 Canada,448,Maven - 2-Step Challenge - Standard - cTrader - 2-Steps 100K,$399.00, ,100K,80%,8%,5%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.62,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Yes,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,448,2 steps,Maven.png
Nordic Funder,$200.00 $180.00 ,25K,75%,1: 10%,5%,10%,0$round lot,1: 1,"Has to be at least 2% up before requesting on first payout, 14 days then after",4.5,November 2021 Sweden,396,Nordic Funder - 1-Phase Evaluation - 1-Step 25K,$200.00,$180.00,25K,75%,10%, ,5%,10%,Balance-based,Trailing,,Unlimited,"Yes, (Extra charge)",1: 1,0$round lot,Up to 10:1,"Yes, 100% refund if reached 10% profit target",Yes,Yes,Technology,Yes,No,Yes,No,"Has to be at least 2% up before requesting on first payout, 14 days then after",1M,No,In-House,Scandinavian Capital Markets,MT4,4.5,"November 11, 2021",Sweden,396,1 step,Nordic Funder.webp
My Funded FX,$300.00 $262.50 ,50K,80%,1: 8% 2: 5%,5%,8%,"$3/round lot (MatchTrade, DXTrade)",1: 0.62,14 Days,4.2,June 2022 United States,433,My Funded FX - 2-Step Normal - 2-Steps 50K,$300.00,$262.50,50K,80%,8%,5%,5%,8%,Balance-based,Static,3 days of .5% profit per day,Unlimited,No,1: 0.62,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,Yes,Yes,White-Label,Allowed with restriction: 3 minutes before and after a red folder news,Yes,No,No,14 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,433,2 steps,My Funded FX.svg
AquaFunded,$297.00 $207.90 ,25K,90% or 95%,1: 10% 2: 5%,5%,10%,$5,1: 0.67,14 Days or 7 Days,4.4,December 2023 United Arab Emirates,358,AquaFunded - Ray Challenge - 2-Step Pro Challenge - 2-Steps 25K,$297.00,$207.90,25K,90% or 95%,10%,5%,5%,10%,Equity-based,Static,3 Days,Unlimited,No,1: 0.67,$5,Up to 50:1,100%,Yes,Yes,Broker,Yes,Yes,No,No,14 Days or 7 Days,400k,No,White-Label,Triskel Capital,"MT5, (TradeLocker, Match Trader for US Traders)",4.4,"December 1, 2023",United Arab Emirates,358,2 steps,AquaFunded.svg
FundedNext,$99.00 $94.05 ,15K,60% + 15% from challenge phase,1: 25%,5%,10%,$3/round lot,1: 0.4,Monthly,4.5,March 2022 United Arab Emirates,56,FundedNext - Express Consistency - 1-Step 15K,$99.00,$94.05,15K,60% + 15% from challenge phase,25%, ,5%,10%,Balance-based,Static,10 Days,Unlimited,No,1: 0.4,$3/round lot,Up to 100:1,100%,Yes,Yes,FXPIG,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",No,No,No,Monthly,"300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,56,1 step,FundedNext.svg
Ascendx Capital,$242.00 $121.00 ,25K,90%,1: 7% 2: 5%,4%,10%,$4/round lot,1: 0.83,14 Days,3.7,October 2023 United Kingdom,190,Ascendx Capital - 2-Phase Evaluation - 2-Step 25K,$242.00,$121.00,25K,90%,7%,5%,4%,10%,Balance-based,Static,3 Days,Unlimited,No,1: 0.83,$4/round lot,Up to 100:1,100%,Yes,Yes,Trading Platform(s),Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,14 Days,400K (per platform),No,White-Label,Purple Trading Seychelles,"cTrader, (DXTrade for US traders)",3.7,"October 1, 2023",United Kingdom,190,2 steps,Ascendx Capital.png
E8 Markets,$59.00 $56.05 ,10K,80%,1: 8%,2% daily pause,8%,"$0 standard, $5/round lot of raw spreads",1: 1,Payout on demand or 7 Days,4.6,November 2021 United States,31,E8 Markets - E8 Pro - 1-Step 10K,$59.00,$56.05,10K,80%,8%, ,2% daily pause,8%,Balance-based,Static,5 Days,Unlimited,No,1: 1,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,No,No,"MT4, MT5, (DXtrade for US traders)",Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,Yes,No,Payout on demand or 7 Days,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,31,1 step,E8 Markets.svg
Trade The Pool,$475.00 $427.50 ,160K,70%,"1: $7,800 (2xDD)","$1,300","$3,900",$0.005 with a minimum charge of $0.75 per trade,1: 0.5,14 days,4.5,September 2022 Israel,470,Trade The Pool - Extra Buying Power - 1-Step - 160K,$475.00,$427.50,160K,70%,"$7,800 (2xDD)", ,"$1,300","$3,900",Balance-based,Static,30 Days,45 Days,No,1: 0.5,$0.005 with a minimum charge of $0.75 per trade,Up to,No,Yes,No,Buyers Rating,Yes,Yes,No,No,14 days,No limit,No, ,Interactive Brokers,Trader Evolutions,4.5,"September 1, 2022",Israel,470,1 step,Trade The Pool.svg
Blue Guardian,$1200.00 $894.00 ,200K,85%,1: 10% 2: 4%,4%,10%,$5/round lot (Match Trade),1: 0.71,14 Days,4.1,June 2021 United Arab Emirates,1386,Blue Guardian - Elite Guardian - 2-Steps 200K,$1200.00,$894.00,200K,85%,10%,4%,4%,10%,Balance / Equity - Highest at EOD,Static,3 Days with 0.5% profit each day,Unlimited,No,1: 0.71,$5/round lot (Match Trade),Up to 50:1,100% on your 4th payout,Yes,Yes,"*Yes, but only using accounts under the same person name",Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,1386,2 steps,Blue Guardian.svg
Goat Funded Trader,$398.00 $318.40 ,10K,65% up to 95%,x,4%,8%,$5/round lot, ,"Triple payday: 5th, 15th and 25th of each month",4.1,May 2023 Spain,560,Goat Funded Trader - Instant - No Evaluation 10K,$398.00, ,10K,65% up to 95%, , ,4%,8%,Balance / Equity - Highest at EOD,Trailing (Smart Drawdown),10 Days,,No,1:,$5/round lot,Up to 50:1,0%,Yes,Yes,News Trading,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",No,No,No,"Triple payday: 5th, 15th and 25th of each month",800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,560,Instant,Goat Funded Trader.png
Instant Funding,$149.00 $126.65 ,25K,80%,1: 10%,3%,8%,$7/round lot,1: 0.8,"First 14 days, then 7 days",4.6,June 2022 United Kingdom,209,Instant Funding - Static - One-Phase - 1-Step 25K,$149.00,$126.65,25K,80%,10%, ,3%,8%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.8,$7/round lot,Up to 100:1,No,Yes,Yes,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,No,Yes,No,"First 14 days, then 7 days",200K,No,In-House, ,"cTrader, MT5, (DXTrade for US traders)",4.6,"June 1, 2022",United Kingdom,209,1 step,Instant Funding.svg
AquaFunded,$677.00 $473.90 ,200K,90% or 95%,1: 6% 2: 6% 3: 6%,4%,8%,$5,1: 0.44,14 Days or 7 Days,4.4,December 2023 United Arab Emirates,853,AquaFunded - Whale Challenge - 3-Step Challenge - 3-Steps 200K,$677.00,$473.90,200K,90% or 95%,6%,6%,4%,8%,Equity-based,Static,0,Unlimited,No,1: 0.44,$5,Up to 100:1,100%,Yes,Yes,Weekend Holding,Yes,Yes,No,No,14 Days or 7 Days,400k,No,White-Label,Triskel Capital,"MT5, (TradeLocker, Match Trader for US Traders)",4.4,"December 1, 2023",United Arab Emirates,853,3 steps,AquaFunded.svg
Funding Traders,$50.00 $35.00 ,5K,90%,1: 10% 2: 5%,5%,10%,$3/round lot,1: 0.67,14 Days,4.5,April 2023 United Arab Emirates,77,Funding Traders - 2-Step Evaluation - 2-Step 5K,$50.00,$35.00,5K,90%,10%,5%,5%,10%,Balance-based,Static,,Unlimited,"*No, but you can’t lose more than 2% on any single trade.",1: 0.67,$3/round lot,Up to 100:1,100%,Yes,Yes,Yes,Yes,Yes,No,No,14 Days,2M,Yes,In-House,"FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)",4.5,"April 1, 2023",United Arab Emirates,77,2 steps,Funding Traders.svg
City Traders Imperium, ,20K,60% up 100%,x,,6%,$5.50/round lot,1: 0.6,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",4.5,June 2018 United Arab Emirates,1978,City Traders Imperium - Direct Funding - Direct 20K,"$1,199.00", ,20K,60% up 100%, , , ,6%,Balance-based,Static,,Unlimited,Yes,1: 0.6,$5.50/round lot,Up to 10:1,"*Yes, 100% but only on the 2-step",Yes,Yes,Auto-close at Target,Yes,Yes,No,No,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",160K,No,In-House,Mabicon,MT5,4.5,"June 1, 2018",United Arab Emirates,1978,Instant,City Traders Imperium.svg
Funded Trading Plus,$499.00 $399.20 ,100K,80%,1: 10% 2: 5%,5%,10%,$7/round lot,1: 0.67,"Payout on demand, then every 7 Days",4.7,November 2021 United Kingdom,494,Funded Trading Plus - Two-Phase Advanced - 2-Steps 100K,$499.00,$399.20,100K,80%,10%,5%,5%,10%,Balance-based,Relative Trailing,,Unlimited,No,1: 0.67,$7/round lot,Up to 30:1,"*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage",Yes,Yes,Yes,Yes,No,No,No,"Payout on demand, then every 7 Days",400K,No,White-Label,"GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)",4.7,"November 1, 2021",United Kingdom,494,2 steps,Funded Trading Plus.png
Goat Funded Trader,$98.00 $78.40 ,5K,65% up to 95%,x,4%,8%,$5/round lot, ,"Triple payday: 5th, 15th and 25th of each month",4.1,May 2023 Spain,170,Goat Funded Trader - Instant - No Evaluation 2.5K,$98.00, ,2.5K,65% up to 95%, , ,4%,8%,Balance / Equity - Highest at EOD,Trailing (Smart Drawdown),10 Days,,No,1:,$5/round lot,Up to 50:1,0%,Yes,Yes,Drawdown Blocker,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",No,No,No,"Triple payday: 5th, 15th and 25th of each month",800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,170,Instant,Goat Funded Trader.png
Goat Funded Trader,$170.00 $85.00 ,15K,80%,1: 10%,4%,6%,$7/round lot,1: 0.6,30 Days then Bi-weekly or Triple payday or Payout on Demand,4.1,May 2023 Spain,140,Goat Funded Trader - No Time Limit - 1-Step 15K,$170.00,$85.00,15K,80%,10%, ,4%,6%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.6,$7/round lot,Up to 30:1,0%,Yes,Yes,Yes,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",Yes,No,No,30 Days then Bi-weekly or Triple payday or Payout on Demand,800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,140,1 step,Goat Funded Trader.png
Apex Trader Funding,$517.00 $103.40 ,250K,90%,"1: $15,000",,"$6,500",Visit Website FAQ,1: 0.43,14 Days,4.5,January 2021 United States,247,Apex Trader Funding - Rithmic/NinjaTrader Plan - 250K Full - 1-Step - 250K,$517.00,$103.40,250K,90%,"$15,000", ,,"$6,500",No daily drawdown,Trailing,7 Days,Unlimited,No,1: 0.43,Visit Website FAQ,Up to 27 (270 Micros),No,No,No,Payout Frequency,Allowed: Evaluation accounts. Not allowed: Funded accounts,No,No,No,14 Days,20 accounts,No, ,Rithmic and Tradovate,NinjaTrader,4.5,"January 1, 2021",United States,247,1 step,Apex Trader Funding.svg
Crypto Fund Trader,$60.00 $55.80 ,5K,80%,1: 10%,4%,6%,$3/round lot,1: 0.6,"15 trading days, or 30 calendar days",3.9,November 2022 Switzerland,92,Crypto Fund Trader - 1-Phase - 1-Step 5K,$60.00,$55.80,5K,80%,10%, ,4%,6%,Balance-based,Trailing,5 Days,Unlimited,No,1: 0.6,$3/round lot,Up to 100:1,No,No,Yes,14 Days,Yes,Yes,No,No,"15 trading days, or 30 calendar days",200K,No,In-House,Liquidity Data Feed Providers,"CFT Platform, MT5, (Crypto Futures for US Traders)",3.9,"November 2, 2022",Switzerland,92,1 step,Crypto Fund Trader.png
Funded Trading Plus,$349.00 $279.20 ,50K,80%,1: 10% 2: 5%,5%,10%,$7/round lot,1: 0.67,"Payout on demand, then every 7 Days",4.7,November 2021 United Kingdom,288,Funded Trading Plus - Two-Phase Advanced - 2-Steps 50K,$349.00,$279.20,50K,80%,10%,5%,5%,10%,Balance-based,Relative Trailing,,Unlimited,No,1: 0.67,$7/round lot,Up to 30:1,"*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage",Yes,Yes,Swap Free Accounts,Yes,No,No,No,"Payout on demand, then every 7 Days",400K,No,White-Label,"GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)",4.7,"November 1, 2021",United Kingdom,288,2 steps,Funded Trading Plus.png
Earn2Trade,$315.00 $126.00 ,100K,80%,"1: $6,000","$2,200","$3,500",Visit Website FAQ,1: 0.58,7 Days,4.6,January 2017 United States,416,Earn2Trade - The Gauntlet Mini 100K - 1-Step - 100K,$315.00,$126.00,100K,80%,"$6,000", ,"$2,200","$3,500",Balance-based,EOD trailing,10 Days,Unlimited,No,1: 0.58,Visit Website FAQ,Up to Up to 12 contracts,No,Yes,No,Yes,Yes,No,No,No,7 Days,3 accounts,No, ,"Phillip Capital, EdgeClear","NinjaTrader, Finamark, R | Trader & R | Trader Pro, Overcharts",4.6,"January 1, 2017",United States,416,1 step,Earn2Trade.svg
FTMO, ,50K,80%,1: 10% 2: 5%,5%,10%,$3/round lot,1: 0.67,14 Days,4.8,January 2015 Czech Republic,110,FTMO - Normal Challenge - 2-Steps 50K,€345.00, ,50K,80%,10%,5%,5%,10%,Balance-based (initial account balance),Static,4 Days,Unlimited,No,1: 0.67,$3/round lot,Up to 100:1,100%,Yes,Yes,Technology,Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation),No,No,No,14 Days,400K,Yes,In-House,Institutional Liquidity Providers,"MT4, MT5, cTrader, DXtrade",4.8,"January 1, 2015",Czech Republic,110,2 steps,FTMO.svg
FTMO, ,200K,80%,1: 10% 2: 5%,5%,10%,$3/round lot,1: 0.67,14 Days,4.8,January 2015 Czech Republic,346,FTMO - Swing Challenge - 2-Steps 200K,"€1,080.00", ,200K,80%,10%,5%,5%,10%,Balance-based (initial account balance),Static,4 Days,Unlimited,No,1: 0.67,$3/round lot,Up to 30:1,100%,Yes,Yes,White-Label,Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation),Yes,No,No,14 Days,400K,Yes,In-House,Institutional Liquidity Providers,"MT4, MT5, cTrader, DXtrade",4.8,"January 1, 2015",Czech Republic,346,2 steps,FTMO.svg
Nordic Funder,"$1,500.00 $1,350.00 ",200K,75%,1: 10%,5%,10%,0$round lot,1: 1,"Has to be at least 2% up before requesting on first payout, 14 days then after",4.5,November 2021 Sweden,2970,Nordic Funder - 1-Phase Evaluation - 1-Step 200K,"$1,500.00","$1,350.00",200K,75%,10%, ,5%,10%,Balance-based,Trailing,,Unlimited,"Yes, (Extra charge)",1: 1,0$round lot,Up to 10:1,"Yes, 100% refund if reached 10% profit target",Yes,Yes,Broker,Yes,No,Yes,No,"Has to be at least 2% up before requesting on first payout, 14 days then after",1M,No,In-House,Scandinavian Capital Markets,MT4,4.5,"November 11, 2021",Sweden,2970,1 step,Nordic Funder.webp
Finotive Funding,"$1,474.00 $1,105.50 ",25K,60%,x,10%,16%,$4/round lot,1: *,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,1021,Finotive Funding - Instant Agressive - Instant 25K,"$1,474.00","$1,105.50",25K,60%, , ,10%,16%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: *,$4/round lot,Up to 100:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,*,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,1021,Instant,Finotive Funding.svg
