"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"Goat Funded Trader","$98.00 $78.40 ","2.5K Instant","65% up to 95%","x","4%","8%","$5/round lot"," ","Triple payday: 5th, 15th and 25th of each month","4.1","May 2023 Spain","170","Goat Funded Trader - Instant - No Evaluation 2.5K","$98.00"," ","2.5K","65% up to 95%"," "," ","4%","8%","Balance / Equity - Highest at EOD","Trailing (Smart Drawdown)","10 Days","None","No","1:","$5/round lot","Up to 50:1","0%","Yes","Yes","Drawdown Blocker","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","No","No","No","Triple payday: 5th, 15th and 25th of each month","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","170"
"Goat Funded Trader","$170.00 $85.00 ","15K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","30 Days then Bi-weekly or Triple payday or Payout on Demand","4.1","May 2023 Spain","140","Goat Funded Trader - No Time Limit - 1-Step 15K","$170.00","$85.00","15K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.6","$7/round lot","Up to 30:1","0%","Yes","Yes","Yes","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days then Bi-weekly or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","140"
"Apex Trader Funding","$517.00 $103.40 ","250K 1 step","90%","1: $15,000","None","$6,500","Visit Website FAQ","1: 0.43","14 Days","4.5","January 2021 United States","247","Apex Trader Funding - Rithmic/NinjaTrader Plan - 250K Full - 1-Step - 250K","$517.00","$103.40","250K","90%","$15,000"," ","None","$6,500","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.43","Visit Website FAQ","Up to 27 (270 Micros)","No","No","No","Payout Frequency","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","247"
"Crypto Fund Trader","$60.00 $55.80 ","5K 1 step","80%","1: 10%","4%","6%","$3/round lot","1: 0.6","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","92","Crypto Fund Trader - 1-Phase - 1-Step 5K","$60.00","$55.80","5K","80%","10%"," ","4%","6%","Balance-based","Trailing","5 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 100:1","No","No","Yes","14 Days","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","92"
"Funded Trading Plus","$349.00 $279.20 ","50K 2 steps","80%","1: 10% 2: 5%","5%","10%","$7/round lot","1: 0.67","Payout on demand, then every 7 Days","4.7","November 2021 United Kingdom","288","Funded Trading Plus - Two-Phase Advanced - 2-Steps 50K","$349.00","$279.20","50K","80%","10%","5%","5%","10%","Balance-based","Relative Trailing","None","Unlimited","No","1: 0.67","$7/round lot","Up to 30:1","*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage","Yes","Yes","Swap Free Accounts","Yes","No","No","No","Payout on demand, then every 7 Days","400K","No","White-Label","GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)","4.7","November 1, 2021","United Kingdom","288"
"Earn2Trade","$315.00 $126.00 ","100K 1 step","80%","1: $6,000","$2,200","$3,500","Visit Website FAQ","1: 0.58","7 Days","4.6","January 2017 United States","416","Earn2Trade - The Gauntlet Mini 100K - 1-Step - 100K","$315.00","$126.00","100K","80%","$6,000"," ","$2,200","$3,500","Balance-based","EOD trailing","10 Days","Unlimited","No","1: 0.58","Visit Website FAQ","Up to Up to 12 contracts","No","Yes","No","Yes","Yes","No","No","No","7 Days","3 accounts","No"," ","Phillip Capital, EdgeClear","NinjaTrader, Finamark, R | Trader & R | Trader Pro, Overcharts","4.6","January 1, 2017","United States","416"
"FTMO"," ","50K 2 steps","80%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.8","January 2015 Czech Republic","110","FTMO - Normal Challenge - 2-Steps 50K","€345.00"," ","50K","80%","10%","5%","5%","10%","Balance-based (initial account balance)","Static","4 Days","Unlimited","No","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","Technology","Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation)","No","No","No","14 Days","400K","Yes","In-House","Institutional Liquidity Providers","MT4, MT5, cTrader, DXtrade","4.8","January 1, 2015","Czech Republic","110"
"FTMO"," ","200K 2 steps","80%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.8","January 2015 Czech Republic","346","FTMO - Swing Challenge - 2-Steps 200K","€1,080.00"," ","200K","80%","10%","5%","5%","10%","Balance-based (initial account balance)","Static","4 Days","Unlimited","No","1: 0.67","$3/round lot","Up to 30:1","100%","Yes","Yes","White-Label","Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation)","Yes","No","No","14 Days","400K","Yes","In-House","Institutional Liquidity Providers","MT4, MT5, cTrader, DXtrade","4.8","January 1, 2015","Czech Republic","346"
"Nordic Funder","$1,500.00 $1,350.00 ","200K 1 step","75%","1: 10%","5%","10%","0$round lot","1: 1","Has to be at least 2% up before requesting on first payout, 14 days then after","4.5","November 2021 Sweden","2970","Nordic Funder - 1-Phase Evaluation - 1-Step 200K","$1,500.00","$1,350.00","200K","75%","10%"," ","5%","10%","Balance-based","Trailing","None","Unlimited","Yes, (Extra charge)","1: 1","0$round lot","Up to 10:1","Yes, 100% refund if reached 10% profit target","Yes","Yes","Broker","Yes","No","Yes","No","Has to be at least 2% up before requesting on first payout, 14 days then after","1M","No","In-House","Scandinavian Capital Markets","MT4","4.5","November 11, 2021","Sweden","2970"
"Finotive Funding","$1,474.00 $1,105.50 ","25K Instant","60%","x","10%","16%","$4/round lot","1: *","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","1021","Finotive Funding - Instant Agressive - Instant 25K","$1,474.00","$1,105.50","25K","60%"," "," ","10%","16%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: *","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","*","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","1021"
"Maven","$210.00 $193.20 ","50K 1 step","80%","1: 8%","3%","5%","$4/round lot","1: 0.63","14 Days","4.6","November 2022 Canada","255","Maven - 1-Step Challenge - Standard - cTrader - 1-Step 50K","$210.00","$193.20","50K","80%","8%"," ","3%","5%","Balance / Equity - Highest at EOD","Trailing","None","Unlimited","No","1: 0.63","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Trading Platform(s)","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","255"
